ts,ecg
1365004406.73729,14995.48828
1365004406.73735,14950.21875
1365004406.75242,14948.83887
1365004406.75252,14929.92969
1365004406.76736,14914.85645
1365004406.76745,14924.55566
1365004406.78136,14908.13867
1365004406.78143,14935.58496
1365004406.79244,14966.18359
1365004406.81033,14989.6123
1365004406.8104,15029.13965
1365004406.82241,15029.78711
1365004406.82248,15063.84277
1365004406.83761,15089.18945
1365004406.83778,15094.35645
1365004406.85044,15117.2832
1365004406.86238,15109.97852
1365004406.86245,15115.76855
1365004406.87739,15129.29102
1365004406.87747,15110.08887
1365004406.89342,15127.83691
1365004406.89351,15119.17676
1365004406.90837,15114.4375
1365004406.90844,15129.2666
1365004406.91536,15108.35449
1365004406.93235,15112.04297
1365004406.93241,15101.34277
1365004406.94735,15109.39258
1365004406.94742,15134.88574
1365004406.96044,15114.9502
1365004406.96051,15112.51953
1365004406.97637,15126.12695
1365004406.97643,15113.10645
1365004406.98743,15122.62109
1365004407.00234,15127.49512
1365004407.00243,15135.27637
1365004407.01743,15149.37207
1365004407.0175,15130.25586
1365004407.02936,15147.2959
1365004407.02945,15141.88477
1365004407.04045,15131.63574
1365004407.05545,15148.72461
1365004407.05552,15136.65625
1365004407.07238,15145.02344
1365004407.07248,15149.53125
1365004407.08741,15134.54297
1365004407.08749,15159.03418
1365004407.10031,15137.02344
1365004407.10037,15150.60645
1365004407.11037,15162.82129
1365004407.12544,15136.79102
1365004407.12554,15163.30957
1365004407.14051,15142.25098
1365004407.14076,15127.66602
1365004407.15744,15133.37109
1365004407.15752,15108.03711
1365004407.16335,15143.10645
1365004407.17936,15157.11621
1365004407.17943,15155.30859
1365004407.19536,15172.69043
1365004407.19545,15147.6748
1365004407.20937,15162.56445
1365004407.20944,15162.57715
1365004407.22543,15154.2832
1365004407.2255,15172.20215
1365004407.2343,15155.96875
1365004407.25041,15160.3291
1365004407.25047,15182.85352
1365004407.26428,15151.87598
1365004407.26434,15148.65137
1365004407.27838,15065.6875
1365004407.28943,14992.83691
1365004407.28949,15117.62598
1365004407.2973,15654.1084
1365004407.3045,16300.31836
1365004407.32044,16292.08594
1365004407.32051,15977.46387
1365004407.33441,15634.01465
1365004407.33448,15316.40039
1365004407.3484,15199.94238
1365004407.35935,15181.81543
1365004407.35941,15134.44531
1365004407.37437,15150.16602
1365004407.37444,15117.88184
1365004407.39237,15119.8125
1365004407.39244,15136.26562
1365004407.40548,15093.20801
1365004407.40565,15115.36621
1365004407.41239,15093.74512
1365004407.42831,15081.53027
1365004407.42836,15102.60156
1365004407.44337,15051.46875
1365004407.44359,15073.13867
1365004407.45836,15043.48047
1365004407.45844,15011.0127
1365004407.47341,15034.51465
1365004407.47374,14976.75
1365004407.4834,14974.12402
